Title,Note,URL,Tags,Comment
Angel Inn,,https://www.google.com/maps/place/Angel+Inn/data=!4m2!3m1!1s0x48795c1c6806033d:0xcd6583f85f1aaaf7,,
Sela Bar,,https://www.google.com/maps/place/Sela+Bar/data=!4m2!3m1!1s0x48795c1a4d30c77d:0x5239cf78b57525bc,,
White Cloth Hall,,https://www.google.com/maps/place/White+Cloth+Hall/data=!4m2!3m1!1s0x48795dcdefff6731:0x4bc267042274e140,,
The 212 Cafe & Bar,,https://www.google.com/maps/place/The+212+Cafe+%26+Bar/data=!4m2!3m1!1s0x48795c1820fb4a8f:0x167a8c434aaeeb4a,,
The Ox,,https://www.google.com/maps/place/The+Ox/data=!4m2!3m1!1s0x4887c79a66139ca1:0x23a224d15ad18d5d,,
Bramble,,https://www.google.com/maps/place/Bramble/data=!4m2!3m1!1s0x4887c79171030f53:0x3fbef4592050a6c8,,
The Pear Tree,,https://www.google.com/maps/place/The+Pear+Tree/data=!4m2!3m1!1s0x4887c783f30967df:0x201ea4cb6abb5bc7,,
The Banshee Labyrinth,,https://www.google.com/maps/place/The+Banshee+Labyrinth/data=!4m2!3m1!1s0x4887c7859672447b:0xc0d6d8fa0f5833eb,,
The Hanging Bat,,https://www.google.com/maps/place/The+Hanging+Bat/data=!4m2!3m1!1s0x4887c798a3d1cc3d:0x2ae2bfa047c62430,,
The Booking Office - JD Wetherspoon,,https://www.google.com/maps/place/The+Booking+Office+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c78fc100c867:0x9dc0a73f001e8532,,
Slug & Lettuce - Omni Centre Edinburgh,,https://www.google.com/maps/place/Slug+%26+Lettuce+-+Omni+Centre+Edinburgh/data=!4m2!3m1!1s0x4887c78bf6b937d1:0x7713e39f85ee5e7f,,
Fayre Play,,https://www.google.com/maps/place/Fayre+Play/data=!4m2!3m1!1s0x4887c7d8c9f4612d:0x1357268123e0569f,,
The Club Room,,https://www.google.com/maps/place/The+Club+Room/data=!4m2!3m1!1s0x4887c79107371dc7:0xeced32cdadacf822,,
All Bar One Exchange Plaza,,https://www.google.com/maps/place/All+Bar+One+Exchange+Plaza/data=!4m2!3m1!1s0x4887c7a282727caf:0x841bb8c4adea73e4,,
Brunswick Book Club,Pub lunch ,https://www.google.com/maps/place/Brunswick+Book+Club/data=!4m2!3m1!1s0x4887c77f84d458f3:0xb5fc5209a8888bb1,,
Malones Edinburgh,,https://www.google.com/maps/place/Malones+Edinburgh/data=!4m2!3m1!1s0x4887c784b14e4c35:0xc80160e8412fefdd,,
Frankenstein,,https://www.google.com/maps/place/Frankenstein/data=!4m2!3m1!1s0x4887c7852cdb5d3d:0x4b1afc06d2c64b97,,
Stramash Recently viewed,,https://www.google.com/maps/place/Stramash+Recently+viewed/data=!4m2!3m1!1s0x4887c785a6fffd93:0x46278552ec61ed9f,,
Sneaky Pete's,,https://www.google.com/maps/place/Sneaky+Pete's/data=!4m2!3m1!1s0x4887c7852d6fb069:0xeaa6b3e9d91da507,,
Legends,,https://www.google.com/maps/place/Legends/data=!4m2!3m1!1s0x4887c7852d6fb069:0xa100311bf0b7e089,,
Bannerman's Bar,,https://www.google.com/maps/place/Bannerman's+Bar/data=!4m2!3m1!1s0x4887c785bc1c504b:0x1b2c975a5b5474ba,,
The Botanist Edinburgh Not too busy,,https://www.google.com/maps/place/The+Botanist+Edinburgh+Not+too+busy/data=!4m2!3m1!1s0x4887c74d29fc4325:0x4bae4ba4a9402ddb,,
Biblos,,https://www.google.com/maps/place/Biblos/data=!4m2!3m1!1s0x4887c785b1105941:0xab77e4d71d166ebd,,
The Huxley,,https://www.google.com/maps/place/The+Huxley/data=!4m2!3m1!1s0x4887c7bd4cf1e80b:0x74877d78b7b03a09,,
The Counting House,,https://www.google.com/maps/place/The+Counting+House/data=!4m2!3m1!1s0x4887c783f3982231:0x35291b11cb7a71c,,
Coco Boho,,https://www.google.com/maps/place/Coco+Boho/data=!4m2!3m1!1s0x4887c7ec6b543637:0xde69319668f1ffc2,,
Bucks Bar - Hanover Street,,https://www.google.com/maps/place/Bucks+Bar+-+Hanover+Street/data=!4m2!3m1!1s0x4887c79115ff19cd:0x80c8afb19f811977,,
Bucks Bar - Grindlay Street Edinburgh,,https://www.google.com/maps/place/Bucks+Bar+-+Grindlay+Street+Edinburgh/data=!4m2!3m1!1s0x4887c7988ec52055:0xe479bbaa14996f11,,
NQ64 Arcade Bar - Edinburgh,,https://www.google.com/maps/place/NQ64+Arcade+Bar+-+Edinburgh/data=!4m2!3m1!1s0x4887c7e98c0083a1:0xa7bde9d131459e8f,,
Red Squirrel,,https://www.google.com/maps/place/Red+Squirrel/data=!4m2!3m1!1s0x4887c798757bd1d7:0x1ac20b50fa3fd01a,,
McLarens on the Corner,,https://www.google.com/maps/place/McLarens+on+the+Corner/data=!4m2!3m1!1s0x4887c74adefbc661:0x884b1c7f79bdf65c,,
The Merlin,,https://www.google.com/maps/place/The+Merlin/data=!4m2!3m1!1s0x4887c70dc40f7c85:0x5d0d56c072a3b4eb,,
The Three Sisters,,https://www.google.com/maps/place/The+Three+Sisters/data=!4m2!3m1!1s0x4887c7853ae35439:0xa9c3e5711e1e11ab,,
The Mash House,,https://www.google.com/maps/place/The+Mash+House/data=!4m2!3m1!1s0x4887c785a6233285:0xb9bc8d1842b95890,,
The Tron,,https://www.google.com/maps/place/The+Tron/data=!4m2!3m1!1s0x4887c7859d67fcdf:0x95489a43984928de,,
The City Cafe,,https://www.google.com/maps/place/The+City+Cafe/data=!4m2!3m1!1s0x4887c7859eec7ad5:0x4503fa5f2d015ff6,,
Whistlebinkies,,https://www.google.com/maps/place/Whistlebinkies/data=!4m2!3m1!1s0x4887c785857af64f:0x4cdc9dcb6410bb01,,
Monkey Barrel Comedy,,https://www.google.com/maps/place/Monkey+Barrel+Comedy/data=!4m2!3m1!1s0x4887c7859ef93eb3:0xd30193eb5786ec39,,
The Hive Nightclub & Venue,,https://www.google.com/maps/place/The+Hive+Nightclub+%26+Venue/data=!4m2!3m1!1s0x4887c78591bb2fef:0xdf0270d89d85dcfc,,
